59	Utils Equals MDT hour DateUtils Utils DST hours buggy truncate	Equals Utils	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum typesafe ValuedEnum Valued Enum Valued classes values apache compareTo compare compare	Enum compare Valued	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Time Calendar Duration set DurationFormatUtils Duration Format Utils Format Utils result Period	Time Format format Period Millis Utils Duration Instance	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test doTestUnescapeEntity Test Unescape Entity Unescape Entity reference EntitiesTest Entities Test entity unescape	Test Number Unescape FFFF Xml x unescape test Overflow	unescapeXml unescape Xml
295	Str length thisBuf Buf StrBuilder Str Builder Builder Buf LANG shouldn places	Str Buf Builder	StrBuilder usages thisBuf length size Str Builder Buf
299	Pad pad Len str size width method Builder Width	Pad pad Len Fixed Bounds Width	Bug method appendFixedWidthPadRight StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number Format NumberFormatException Number Format Exception Utils Exception createNumber create Number string Digits digit	Number Format Digits Exception Utils create	NumberUtils createNumber NumberFormatException digit Number Utils create Number Number Format Exception
304	Locale Pointer Bugs NullPointerException Pointer Exception Exception Find Set LocaleUtils Locale Utils apache	Locale Pointer Bugs Uw F Find Set	NullPointerException isAvailableLocale Locale Pointer Exception Locale
315	Time time shouldn Watch counter acts bug StopWatch Watch	Watch Time	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils country language POSIX Converter string Property	Locale Converter Property Utils String	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar test Time minutes CDT Mon println DateUtils Utils testCalendar test Calendar	test Time Utils Calendar Instance Zone	Dates behaves incorrectly minutes seconds
363	Escape Script Utils String Java escape script org Spring	Escape Script Element Java Utils escape Javascript	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Utils toBoolean BooleanUtils Utils Bounds test statement String StringIndexOutOfBoundsException String Bounds Exception Exception	Bounds Equals Utils String Exception	BooleanUtils toBoolean invalid drop statement StringIndexOutOfBoundsException Utils String Bounds Exception
368	Instance locale Hash test Format getDateTimeInstance Time Instance Locale getDateInstance Instance Time	Hash Map Instance Time	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance
380	Fraction loop reduce pretty numerator Summary infinite		infinite loop Fraction reduce numerator
393	Big compare Equals Decimal Builder BigDecimal Big Decimal Decimals don BigDecimals Big Decimals	Big Equals compare Builder Decimal Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Fixed Builder getNullText Text appendFixedWidth append Fixed Width pointer Str set width	Fixed Str Builder Text Width append	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length Bounds str string Word String Utils upper Exception	Bounds Word Utils String Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs String locale http insensitive Common html Bug string		insensitive string handling
457	Number Bounds String StringIndexOutOfBoundsException String Bounds Exception Utils front Exception createNumber create Number don	Number Bounds Utils create String Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format Memory Registry Extended ExtendedMessageFormat Extended Message Format code border Message	Format Memory Message border escaping Pattern formatted format	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	Escape String escape characters problem Html escapeHtml escape Html unicode data	Escape x Html escape Utils F String	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number Dec isNumber Number Exp Decimal Point exponent code number	Number Dec Big Digit Decimal Utils Point Exp	NumberUtils isNumber Valid Number Trailing Decimal Place Number Utils Number
538	Time Format Calendar test format TimeZone Time Zone problem Zone noformat	Time Format Ms Calendar Iso Equals Gregorian Zulu	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	Utils String Test replacement List org expectations replaceEach replace StringUtils String Utils	Utils List Equals replace search Test String replacement	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	String Code org memory ToStringStyle String Style Style thread Thread application	String Code Locals Thread Builder Style Hash	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass element Object ClassUtils Utils array Utils NPE	Utils	ClassUtils toClass Object NPE array element Utils
638	Number Exception String StringIndexOutOfBoundsException String Bounds Exception Format createNumber create Number Utils NumberUtils Number Utils Bounds	Number Format Exception Bounds e E	NumberUtils createNumber StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format locale Week week FastDateFormat Fast Format format set Simple Fast	Week Days Day Bug Format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction test MIN Reduced Integer method Common Equals code	Reduced Common Fraction test border Equals Style Divisor greatest	org apache commons lang math Fraction reduce Integer MIN
664	Number code Dec Digit String hasExp Exp hasDecPoint Dec Point java isNumber Number	Number Dec Digit Utils Point Exp	NumberUtils isNumber String String Number Utils Number
677	Time Local Utils Calendar isSameLocalTime Local Time method HOUR DateUtils Utils Millis	Time Local Instance Utils Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern Java Format SimpleDateFormat Simple Format year Fast bug number Simple	Format Fast Simple	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Format NumberFormatException Number Format Exception Utils Integer createNumber create Number upper Exception hex	Number Format Exception Utils create	NumberUtils handle upper hex Number Utils
747	Number Integer create hex numbers createLong create Utils createNumber create Number Hex	create Number Utils Integer	NumberUtils handle Hex numbers Number Utils
788	Loader Object Stream Serialization Exception Utils ClassNotFoundException Exception noformat ObjectInputStream Object Input Stream	Loader Object Stream User Utils current	SerializationUtils ClassNotFoundException cloning primitive classes Serialization Utils Exception
805	String code Bounds array start gap Utils Random pass	String Bounds Random Utils Array	RandomStringUtils random count universe random java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Argument Utils String lang Illegal source IllegalArgumentException Illegal Argument Exception start	Argument Random Utils String Illegal Exception	RandomStringUtils confusing IAE start Random String Utils
822	Number Big BigDecimal Big Decimal behaviour createNumber create Number Format create work Decimal	Number Big Format create Decimal Exception Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	Format FastDateParser Fast Parser Fast dates space Parser FDP white	Format Fast Parser Simple	FastDateParser handle white space properly Fast Parser
832	format parse quotes Format Simple Fast unterminated	Format Fast Parser Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	String CharSequence Sequence Map Sequence work code Code CharBuffer Buffer	Map Escape String Html Code Translator Lookup escape	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Sequence
